1,ajddou,ⴰⵊⴷⴷⵓ,إبريق
2,addar,ⴰⴷⴷⴰⵔ,جرف حاد أو هاوية
3,ajrniḍ,ⴰⵊⵔⵏⵉⴹ,عنق
4,ajrou,ⴰⵊⵔⵓ,ضفدع
5,ajḍiḍ,ⴰⵊⴹⵉⴹ,طائر
6,iḍnni,ⵉⴹⵏⵏⵉ,ذالك النهار
7,ayllid,ⴰⵢⵍⵍⵉⴷ,ملك
8,ajmmaḍ,ⴰⵊⵎⵎⴰⴹ,ماوراء الضفة المقابلة
9,tisda,ⵜⵉⵙⴷⴰ,لبوؤة
10,tayradt,ⵜⴰⵢⵔⴰⴷⵜ,لبوؤة
11,tasilit/tisila,ⵜⴰⵙⵉⵍⵉⵜ/ⵜⵉⵙⵉⵍⴰ,نعل/ نعال
12,itri,ⵉⵜⵔⵉ,نجمة
13,akhkham,ⴰⵅⵅⴰⵎ,منزل
14,asrkous,ⴰⵙⵔⴽⵓⵙ,كذب
15,akhnnous,ⴰⵅⵏⵏⵓⵙ,صغير الخنزير
16,adbir,ⴰⴷⴱⵉⵔ,حمامة
17,ghanimouḍar,ⵖⴰⵏⵉⵎⵓⴹⴰⵔ,ساق القدم
18,adjaj,ⴰⴷⵊⴰⵊ,رعد
19,chal,ⵛⴰⵍ,تراب
20,adrar,ⴰⴷⵔⴰⵔ,جبل
21,idmarn,ⵉⴷⵎⴰⵔⵏ,صدر
22,toudrt,ⵜⵓⴷⵔⵜ,حياة
23,adiddey,ⴰⴷⵉⴷⴷⴻⵢ,جرح
24,tisghart/tasghart,ⵜⵉⵙⵖⴰⵔⵜ/ⵜⴰⵙⵖⴰⵔⵜ,حق
25,ou,ⵓ,ابن
26,açerri,ⴰⴿⵔⵔⵉ,كبش
27,irdn,ⵉⵔⴷⵏ,قمح
28,areçti,ⴰⵔⴻⴿⵜⵉ,عجينة
29,arn,ⴰⵔⵏ,دقيق
30,taziri,ⵜⴰⵣⵉⵔⵉ,قمر
31,arroḍ,ⴰⵔⵔⵓⴹ,ملابس
32,ari,ⴰⵔⵉ,حلفاء
33,aryaz,ⴰⵔⵢⴰⵣ,رجل
34,timzyida,ⵜⵉⵎⵣⵢⵉⴷⴰ,مسجد
35,adir,ⴰⴷⵉⵔ,سهل بين الجبال
36,ażro,ⴰⵥⵔⵓ,صخرة
37,angoul,ⴰⵏⴳⵓⵍ,بسكويت
38,tghatt n uzghar,ⵟⵖⴰⵟ ⵏ ⵓⵣⵖⴰⵔ,غزالة
39,aka,ⴰⴽⴰ,حبة قمح أو ذرة
40,az99a/taz99a,ⴰⵣⵇⵇⴰ/ⵜⴰⵣⵇⵇⴰ,سطح، شُرفة
41,tfouyt,ⵜⴼⵓⵢⵜ,شمس
42,anjan,ⴰⵏⵊⴰⵏ,اوساخ
43,awdad,ⴰⵡⴷⴰⴷ,حيوان الاروي
44,azllif,ⴰⵣⵍⵍⵉⴼ,رأس
45,azmmour,ⴰⵣⵎⵎⵓⵔ,زيتون
46,azwr,ⴰⵣⵡⵔ,عرق
47,as,ⴰⵙ,نهار
48,asrdoun,ⴰⵙⵔⴷⵓⵏ,بغل
49,asghoun,ⴰⵙⵖⵓⵏ,حبل
50,ijdi,ⵉⵊⴷⵉ,رمل
51,asggas,ⴰⵙⴳⴳⴰⵙ,سنة
52,amnay,ⴰⵎⵏⴰⵢ,فارس
53,isli,ⵉⵙⵍⵉ,عريس
54,aslif,ⴰⵙⵍⵉⴼ,زوج نسيبة الزوج
55,asennan,ⴰⵙⴻⵏⵏⴰⵏ,شوكة
56,tighouni,ⵜⵉⵖⵓⵏⵉ,نعل
57,aherkas/iherkas,حذاء
58,asinou,ⴰⵙⵉⵏⵓ,سحاب
59,Tifednet,ⵜⵉⴼⴻⴷⵏⵜ,اصبع القدم
60,achrrib,ⴰⵛⵔⵔⵉⴱ,أغنية
61,achkrod,ⴰⵛⴽⵔⵓⴷ,ظلف الحيوان
62,jij,ⵊⵉⵊ,وتد
63,achnkour,ⴰⵛⵏⴽⵓⵔ,عرف الديك
64,asfeḍ,ⴰⵚⴼⴻⴹ,شعلة
65,iman,ⵉⵎⴰⵏ,روح
66,iḍs,ⵉⴹⵙ,نوم
67,aḍkkal,ⴰⴹⵯⴽⴽⴰⵍ,صهر أو النسيب
68,swit,ⵙⵡⵉⵜ,فتاة
69,adouf,ⴰⴷⵓⴼ,نخاع
70,tazouwḍa,ⵜⴰⵣⵓⵡⴹⴰ,صحن
71,a9rdal,ⴰⵇⵔⴷⴰⵍ,رئيس
72,a9ouban,ⴰⵇⵓⴱⴰⵏ,امّي
73,anrzaf,ⴰⵏⵔⵣⴰⴼ,مسافر
74,iḍomi,ⵉⴹⵓⵎⵉ,أي يوم؟
75,ouchchay,ⵓⵛⵛⴰⵢ,كلب سلوقي
76,tijmrt,ⵜⵉⵊⵎⵔⵜ,فرس
77,aghraṣ,ⴰⵖⵔⴰⵚ,جبح النحل
78,aghrda,ⴰⵖⵕⴹⴰ,فأر
79,aghzdis,ⴰⵖⵣⴷⵉⵙ,جانب
80,aghlal,ⴰⵖⵍⴰⵍ,حلزون
81,aghmbou,ⴰⵖⵎⴱⵓ,وجه
82,Alçtu,ⴰⵍⴿⵜⵓ,سرير
83,aghnja,ⴰⵖⵏⵊⴰ,مغرف
84,tiddt,ⵜⵉⴷⴷⵜ,حقيقة
85,tirghi,ⵜⵉⵔⵖⵉ,حرارة
86,aghil,ⴰⵖⵉⵍ,ذراع
87,taghnint,ⵜⴰⵖⵏⵉⵏⵜ,غرفية أو زلافة
88,aghbal,ⴰⵖⴱⴰⵍ,منبع
89,affer,ⴰⴼⴼⴻⵔ,جناح
90,amsgar,ⴰⵎⵙⴳⴰⵔ,التقاء
91,tidght,ⵜⵉⴷⵖⵜ,إبط
92,af9louj,ⴰⴼⵇⵍⵓⵊ,بصل
93,afounas,ⴰⴼⵓⵏⴰⵙ,ثور
94,tiḍouna,ⵜⵉⴹⵓⵏⴰ,مدرجات فلاحية في الجبل
95,a9zin,ⴰⵇⵣⵉⵏ,جرو
96,la9mmi,ⵍⴰⵇⵎⵎⵉ,عندما
97,ayrziz,ⴰⵢⵔⵣⵉⵣ,أرنب
98,wah,ⵡⴰⵀ,نعم
99,afkhsi,ⴰⴼⵅⵙⵉ,شق
100,abyas,ⴰⴱⵢⴰⵙ,حزام
101,tisar,ⵜⵉⵙⴰⵔ,اضراس
102,a9iḍon,ⴰⵇⵉⴹⵓⵏ,خيمة
103,ila9,ⵉⵍⴰⵇ,وقت
104,ourtou/ourtan,ⵓⵔⵜⵓ/ⵓⵔⵜⴰⵏ,بستان/بساتين
105,tamsliwt,ⵜⴰⵎⵙⵍⵉⵡⵜ,حاسة السمع
106,tijli,ⵜⵉⵊⵍⵉ,حفنة
107,tibrt,ⵜⵉⴱⵔⵜ,جمرة
108,tirjit,ⵜⵉⵔⵊⵉⵜ,جمرة
109,nnihntin,ⵏⵏⵉⵀⵏⵜⵉⵏ,هن
110,aglla,ⴰⴳⵍⵍⴰ,رزق
111,timḍwint,ⵜⵉⵎⴹⵡⵉⵏⵜ,مرض قليل
112,ntch,ⵏⵜⵛ,انا
113,tchem,ⵜⵛⴻⵎ,انتي
114,çennimti,ⴿⵏⵏⵉⵎⵜⵉ,انتن
115,ils,ⵉⵍⵙ,لسان-لغة
116,alghm,ⴰⵍⵖⵎ,جمل
117,alghid,ⴰⵍⵖⵉⴷ,أبيات مغناة في الأعراس
118,fighr,ⴼⵉⵖⵔ,ثعبان
119,aznjer,ⴰⵣⵏⵊⴻⵔ,عفن
120,alkoḍ,ⴰⵍⴽⵓⴹ,سوط
121,askkan,ⴰⵙⴽⴽⴰⵏ,تعليم
122,alous,ⴰⵍⵓⵙ,صهر الزوج
123,alizar,ⴰⵍⵉⵣⴰⵔ,لعاب
124,alili,ⴰⵍⵉⵍⵉ,دفلى
125,alinti,ⴰⵍⵉⵏⵜⵉ,راعي
126,amjr,ⴰⵎⵊⵔ,منجل
127,amddoukl,ⴰⵎⴷⴷⵓⴽⵍ,صديق
128,toufin,ⵜⵓⴼⵉⵏ,كبرياء
129,amrwas,ⴰⵎⵔⵡⴰⵙ,دين أو سلف
130,amżiw,ⴰⵎⵥⵉⵡ,غول
131,askiḍ,ⴰⵙⴽⵉⴹ,سيف
132,tiza,ⵜⵉⵣⴰ,سلخ
133,amzour,ⴰⵎⵣⵓⵔ,جليل أو مهيب
134,amzday,ⴰⵎⵣⴷⴰⵢ,سائل نقي وصافي
135,imiziḍ,ⵉⵎⵉⵣⵉⴹ,حلو
136,bzzez,ⴱⵣⵣⴻⵣ,رغما
137,tazit,ⵜⴰⵣⵉⵜ,صدع في الارض
138,amzloḍ,ⴰⵎⵣⵍⵓⴹ,فقير
139,amzwr,ⴰⵎⵣⵡⵔ,شعر مظفور
140,azoukan,ⴰⵣⵓⴽⴰⵏ,شعر العانة
141,tazmrt,ⵜⴰⵣⵎⵔⵜ,استطاعة
142,amiriw,ⴰⵎⵉⵔⵉⵡ,عريض
143,araf,ⴰⵔⴰⴼ,قلي
144,irdli,ⵉⵔⴷⵍⵉ,بخل
145,trakna,ⵜⵔⴰⴽⵏⴰ,سجاد من صوف
146,ourgh,ⵓⵔⵖ,ذهب
147,yelli,ⵢⴻⵍⵍⵉ,بنتي
148,iragh,ⵉⵔⴰⵖ,ملك الموت
149,middn,ⵎⵉⴷⴷⵏ,ناس
150,wachoun,ⵡⴰⵛⵓⵏ,عائلة
151,alagh,ⴰⵍⴰⵖ,عميق
152,Ale99agh,ⴰⵍⴻⵇⵇⴰⵖ,ناعم
153,awki,ⴰⵡⴽⵉ,إدراك
154,tikourda,ⵜⵉⴽⵓⵔⴷⴰ,سرقة
155,twaçra,ⵜⵡⴰⴿⵔⴰ,سرقة
156,takrza,ⵜⴰⴽⵔⵣⴰ,حرث
157,aklal,ⴰⴽⵍⴰⵍ,اهل
158,Ayechchul,ⴰⵢⵛⵛⵓⵍ,معي دقيق
159,maknaw,ⵎⴰⴽⵏⴰⵡ,على غرار أو كما هو الشان
160,akmin,ⴰⴽⵎⵉⵏ,كومة وسط الحقل
161,abjlal,ⴰⴱⵊⵍⴰⵍ,قضيب
162,aywal,ⴰⵢⵡⴰⵍ,طبل طويل
163,ayyir,ⴰⵢⵢⵉⵔ,مساحة خضراء
164,ayrraw,ⴰⵢⵔⵔⴰⵡ,اجتمعاع شيوخ القبيلة
165,ichmir,ⵉⵛⵎⵉⵔ,شخص صعب فظ
166,animar,ⴰⵏⵉⵎⴰⵔ,صياد
167,izir,ⵉⵣⵉⵔ,جزيرة
168,atchil,ⴰⵜⵛⵉⵍ,رايب
169,aghraw,ⴰⵖⵔⴰⵡ,يد الكاس
170,a99a,ⴰⵇⵇⴰ,ها هو
171,yeghmi,ⵢⴻⵖⵎⵉ,نبت
172,tighouni,ⵜⵉⵖⵓⵏⵉ,إعاقة
173,aboukhsi,ⴰⴱⵓⵅⵙⵉ,انقراض أو اخماذ
174,i99i,ⵉⵇⵇⵉ,جنس
175,a9ernennay,ⴰⵇⴻⵔⵏⴻⵏⵏⴰⵢ,متشرد
176,isma,ⵉⵙⵎⴰ,اخوات
177,7ouma,ⵃⵓⵎⴰ,لكي
178,simḍa,ⵙⵉⵎⴹⴰ,انتهاء
179,inemlel,ⵉⵏⴻⵎⵍⴻⵍ,زلزال
180,amjoun,ⴰⵎⵊⵓⵏ,صدفة البحر
181,irar,ⵉⵔⴰⵔ,لعب
182,timna,ⵜⵉⵎⵏⴰ,اقوال
183,zoumbi,ⵣⵓⵎⴱⵉ,ذرة
184,tfiza,ⵜⴼⵉⵣⴰ,حيوان صغير
185,aklil,ⴰⴽⵍⵉⵍ,جبن
186,lal,ⵍⴰⵍ,سيدة
187,dad,ⴷⴰⴷ,سيد
188,amtl,ⴰⵎⵜⵍ,لعنة
189,afdiz,ⴰⴼⴷⵉⵣ,مطرقة
190,azḍi,ⴰⵣⴹⵉ,عملية قياس الطول
191,abrsi,ⴰⴱⵔⵙⵉ,كتلة تراب
192,tatout,ⵜⴰⵜⵓⵜ,نسيان
193,adrn,ⴰⴷⵔⵏ,بلوط
194,idid,ⵉⴷⵉⴷ,مؤن سائلة مخزنة
195,isagh,ⵉⵙⴰⵖ,فتحة
196,ardou,ⴰⵔⴷⵓ,اقحوان
197,tfiras,ⵜⴼⵉⵔⴰⵙ,إجاص
198,tmoughli,ⵜⵎⵓⵖⵍⵉ,نظرة
199,bourrn,ⴱⵓⵔⵔⵏ,متوحش بربري
200,amsrou9,ⴰⵎⵙⵔⵓⵇ,ممر
201,oufough,ⵓⴼⵓⵖ,مخرج
202,badou,ⴱⴰⴷⵓ,متراس
203,taka,ⵜⴰⴽⴰ,مساحة
204,kal,ⴽⴰⵍ,مساحة
205,achbar,ⴰⵛⴱⴰⵔ,حفرة
206,a9doud,ⴰⵇⴷⵓⴷ,قضيب طفل غير مختن
207,takhna,ⵜⴰⵅⵏⴰ,شرج
208,tou9ouri,ⵜⵓⵇⵓⵔⵉ,جفاف
209,anyam,ⴰⵏⵢⴰⵎ,ساقي
210,taytti,ⵜⴰⵢⵜⵜⵉ,عين (حسد)
211,ajenna,ⴰⵊⴻⵏⵏⴰ,سماء
212,abl,ⴰⴱⵍ,شفر العين
213,aysoum,ⴰⵢⵙⵓⵎ,لحم
214,al,ⴰⵍ,حتى
215,da,ⴷⴰ,هنا
216,dou/di,ⴷⵓ/ⴷⵉ,في
217,tou,ⵜⵓ,هذه
218,inou,ⵉⵏⵓ,لي
219,ounli,ⵓⵏⵍⵉ,ليس
220,if,ⵉⴼ,احسن
221,archil,ⴰⵔⵛⵉⵍ,زواج
222,tnaghit,ⵜⵏⴰⵖⵉⵜ,حيرة
223,wikd,ⵡⵉⴽⴷ,مع من
224,ammou,ⴰⵎⵎⵓ,هكذا
225,tisdnan,ⵜⵉⵙⴷⵏⴰⵏ,عشيقات
226,youlilla,ⵢⵓⵍⵉⵍⵍⴰ,مضيئ
227,abṭṭo,ⴰⴱⵟⵟⵓ,مشاركة
228,abghor,ⴰⴱⵖⵓⵔ,فائدة أو مصلحة
229,tafḍna,ⵜⴰⴼⴹⵏⴰ,صحن من حديد
